i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy error_x error_y 
6242 41.21651554107666 0.06174273043870926 -0.008053399622440338 0.12655341625213623 0.7369857997335494 0.11498647074401377 -0.0 -0.10841028427706759 -0.547541243536195 0.6559515278132626 865.0 5843.0 -2519.0 0.7100414000451565 0.09019807577133178 -0.030579763587564233 -0.003973826363682747 0.05752416327595711 0.028762221336364746 -0.06174273043870926 0.008053399622440338 
6243 41.22143602371216 0.06174273043870926 -0.008053399622440338 0.12655341625213623 0.6794616364575923 0.08622223605774343 -0.0 -0.0812911037406635 -0.5141325511688498 0.5954236549095133 863.0 5836.0 -2512.0 0.7100414000451565 0.09019807577133178 -0.030579763587564233 -0.003975839713588357 0.0 0.0 -0.06174273043870926 0.008053399622440338 
6244 41.22646903991699 0.05963350459933281 -0.009012140333652496 0.1263616681098938 0.8133974772579968 0.16886343232914802 -0.0 -0.15920597079250165 -0.5845332737201412 0.7437392445126428 860.0 5829.0 -2506.0 0.6857853028923273 0.10093597173690795 -0.030579763587564233 -0.00397809274867177 0.15819193795323372 0.07190555334091187 -0.05963350459933281 0.009012140333652496 
6245 41.23157334327698 0.05905826389789581 -0.00939563661813736 0.12655341625213623 0.6917333238460124 0.13001290980167687 -0.0 -0.12257734688341422 -0.5035092203923333 0.6260865672757475 857.0 5820.0 -2497.0 0.6791700348258018 0.10523113012313842 -0.030579763587564233 -0.003980441657826305 0.043143052607774734 0.028762221336364746 -0.05905826389789581 0.00939563661813736 
6246 41.23644042015076 0.058099523186683655 -0.00939563661813736 0.1269369125366211 0.7094703064002097 0.10124833955615758 -0.0 -0.09545784997871623 -0.5315511544561591 0.6270090044348754 854.0 5810.0 -2489.0 0.668144516646862 0.10523113012313842 -0.030579763587564233 -0.003982790566980839 0.07190555334091187 0.0 -0.058099523186683655 0.00939563661813736 
6247 41.2414493560791 0.05675728991627693 -0.008628644049167633 0.12712866067886353 0.7227965657301247 0.03513142294995485 -0.0 -0.033122223200861035 -0.5735998130245186 0.6067220362253797 851.0 5798.0 -2478.0 0.6527088340371847 0.09664081335067748 -0.030579763587564233 -0.003984947727993131 0.10066749528050423 -0.05752444267272949 -0.05675728991627693 0.008628644049167633 
6248 41.24643158912659 0.05426457151770592 -0.007861651480197906 0.12674516439437866 0.7804166887588799 0.026539140764623877 -0.0 -0.0250213418687065 -0.6246968871362095 0.6497182290049159 848.0 5786.0 -2468.0 0.624042572453618 0.08805049657821655 -0.030579763587564233 -0.00398691314086318 0.18695387989282608 -0.05752444267272949 -0.05426457151770592 0.007861651480197906 
6249 41.25149202346802 0.05138836055994034 -0.0072864145040512085 0.1263616681098938 0.7761022046841681 0.034476334489881987 -0.0 -0.032504599877668267 -0.6174324966362592 0.6499370965139275 845.0 5772.0 -2456.0 0.5909661464393139 0.08160784244537353 -0.030579763587564233 -0.003988734744489193 0.21571582183241844 -0.04314277321100235 -0.05138836055994034 0.0072864145040512085 
6250 41.25643873214722 0.0481286495923996 -0.007094666361808777 0.12597817182540894 0.7673780292905867 0.06108864417299628 -0.0 -0.05759492606429032 -0.5977640741626751 0.6553590002269655 841.0 5760.0 -2445.0 0.5534794703125954 0.0794602632522583 -0.030579763587564233 -0.003990508411079645 0.24447832256555557 -0.014381110668182373 -0.0481286495923996 0.007094666361808777 
6251 41.26146674156189 0.043910201638936996 -0.006711170077323914 0.12559467740356922 0.7907711517699063 0.042410697326064103 -0.0 -0.03998518889881347 -0.6256693472670016 0.665654536165815 838.0 5746.0 -2433.0 0.5049673188477755 0.07516510486602783 -0.030579763587564233 -0.003992186203598976 0.31638359650969505 -0.028762221336364746 -0.043910201638936996 0.006711170077323914 
6252 41.26641917228699 0.039500005543231964 -0.00632767379283905 0.1252111829817295 0.7544350073374808 0.038113957021385425 -0.0 -0.03593418329023235 -0.5980265123781208 0.633960695668353 835.0 5730.0 -2419.0 0.4542500637471676 0.07086994647979736 -0.030579763587564233 -0.003993768122047186 0.3307647071778774 -0.028762221336364746 -0.039500005543231964 0.00632767379283905 
6253 41.271445512771606 0.03508981317281723 -0.005368933081626892 0.12444419227540493 0.703717515680939 -0.01576861318200827 -0.0 0.014866791081207507 -0.5820163410330437 0.5671495499518362 832.0 5716.0 -2406.0 0.40353285148739815 0.060132050514221186 -0.030579763587564233 -0.003995110355317593 0.33076442778110504 -0.07190555334091187 -0.03508981317281723 0.005368933081626892 
6254 41.276716232299805 0.030679620802402496 -0.0046019479632377625 0.12367720156908035 0.6530003034211695 -0.009978327533230188 -0.0 0.009407657418196666 -0.5378763437972508 0.5284686863790542 829.0 5702.0 -2393.0 0.3528156392276287 0.05154181718826294 -0.030579763587564233 -0.0039962608423084025 0.33076442778110504 -0.05752388387918472 -0.030679620802402496 0.0046019479632377625 
6255 41.28147506713867 0.025885924696922302 -0.0040267035365104675 0.12310195900499821 0.6266355783380568 -0.002041519913822413 -0.0 0.0019247634333216057 -0.5126081889173524 0.5106834254840308 826.0 5685.0 -2377.0 0.2976881340146065 0.045099079608917236 -0.030579763587564233 -0.00399726751819253 0.35952720791101456 -0.04314333200454712 -0.025885924696922302 0.0040267035365104675 
