i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy 
130 10.650723218917847 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
131 10.65578007698059 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
132 10.66075348854065 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
133 10.66572117805481 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
134 10.670730829238892 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
135 10.675767660140991 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
136 10.680716753005981 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
137 10.685777187347412 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
138 10.690721035003662 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
139 10.69577693939209 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
140 10.700741052627563 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
141 10.705735206604004 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
142 10.710773229598999 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
143 10.715735912322998 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
144 10.720743417739868 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
145 10.725792407989502 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
146 10.730726957321167 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
147 10.735777854919434 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
148 10.740728378295898 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
149 10.745766639709473 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
150 10.750725269317627 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
151 10.75577449798584 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
152 10.760732889175415 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
153 10.765753507614136 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
154 10.770780563354492 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
155 10.77574372291565 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
156 10.780849695205688 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
157 10.785766363143921 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
158 10.790767908096313 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
159 10.795718908309937 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
160 10.800805568695068 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
161 10.805913925170898 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
162 10.810765027999878 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
163 10.815718412399292 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
164 10.820751190185547 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
165 10.825731754302979 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
166 10.83075475692749 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
167 10.835758924484253 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
168 10.840733289718628 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
169 10.845744371414185 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
170 10.85075068473816 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
